PriceRange	stars	catagory	name	full_address	state
2.08281821301207	3.49553823880851	Italian	Papa J's	NA	PA
4.07217370588332	5.01655200957321	Italian	Vivo	NA	PA
2.11619164594449	2.55882048578933	Italian	Pino's Contemporary Italian Restaurant & Wine Bar	NA	PA
1.98037656326778	3.11080002551898	Italian	Minutello's Restaurant & Lounge	NA	PA
4.09560148878954	4.59745557587594	Italian	Alla Famiglia	NA	PA
1.01195602645166	3.56401689010672	Italian	DiCarlo's Original Pizza	NA	PA
2.01765415179543	4.01928330305964	Italian	Legends North Shore	NA	PA
2.13755286694504	3.50422527575865	Italian	Vincent's of Greentree	NA	PA
2.007700872235	3.50574599462561	Italian	Olive Garden Italian Restaurant	NA	PA
1.02131298976019	3.58729325938039	Italian	Sunseri Jimmy & Nino Co	NA	PA
1.04993720417842	3.04678996168077	Italian	Monte Cello's Downtown	NA	PA
1.09131611902267	4.61108411317691	Italian	La Gondola Pizzeria & Restaurant	NA	PA
2.00827566017397	2.59799462850206	Italian	Spaghetti Warehouse	NA	PA
2.06126234298572	3.52595733189955	Italian	Buon Giorno Cafe	NA	PA
2.03994596763514	2.09378272844478	Italian	F. Tambellini Ristorante	NA	PA
1.97703808904625	3.0538017208688	Italian	Papa J's Centro	NA	PA
3.07098344550468	3.42014592150226	Italian	Lidia's Pittsburgh	NA	PA
1.97372478330508	2.46755997012369	Italian	D'Amico's	NA	PA
2.13614334235899	3.50262068901211	Italian	Lombardozzi's Restaurant	NA	PA
2.14194728489965	2.97436923570931	Italian	Pleasure Bar and Restaurant	NA	PA
1.97700409526005	3.44246868267655	Italian	Alexander's Italian Bistro	NA	PA
1.10563154947013	4.07227079672739	Italian	Fiori's Pizzaria	NA	PA
2.06222413023934	4.02640529754572	Italian	Moonlite Cafe	NA	PA
2.01384334065951	4.06797375688329	Italian	Il Pizzaiolo	NA	PA
2.14634356419556	3.45592576097697	Italian	Girasole Restaurant	NA	PA
2.08273331685923	3.00235004867427	Italian	Calabria's	NA	PA
2.02506220606156	2.98249842417426	Italian	Pizza Hut	NA	NC
1.98783395662904	3.10717675178312	Italian	Buca di Beppo	NA	NC
2.1419843273703	2.51416444880888	Italian	Olive Garden Italian Restaurant	NA	NC
3.04577546371147	4.55667920052074	Italian	Luce Restaurant & Bar	NA	NC
2.15062437364832	3.44493776555173	Italian	Frankie's Italian Grille	NA	NC
2.05524791893549	3.96488483343273	Italian	Mama Ricotta's	NA	NC
2.08850647620857	2.44145418195985	Italian	The World Famous Open Kitchen	NA	NC
2.15380702405237	2.5165891489014	Italian	Pizza Hut	NA	NC
2.16623862870038	2.92017202940769	Italian	Beauregards	NA	NC
1.16206864905544	1.42509179334156	Italian	Pizza Hut	NA	NC
2.14544003764167	1.4769032642711	Italian	Pizza Hut	NA	NC
2.03497691480443	3.58807998513803	Italian	Ciro's Italian Restaurant	NA	NC
2.06741111306474	2.58244423628785	Italian	TGI Friday's	NA	NC
1.99551924783736	2.56120654530823	Italian	Romano's Macaroni Grill	NA	NC
2.01764631094411	3.09988924125209	Italian	De Marco's Italian Grill	NA	SC
1.99631160497665	3.92974440911785	Italian	Vin Santo	NA	WI
1.99727608757094	2.99744806308299	Italian	Benvenuto's Italian Grill	NA	WI
2.01853805887513	3.46159353367984	Italian	Olive Garden Italian Restaurant	NA	WI
2.16660044239834	1.54687555599958	Italian	Pizza Hut	NA	WI
1.00535002620891	3.98597705266438	Italian	Fraboni's Italian Specialties & Delicatessen	NA	WI
0.974643368087709	3.51427184632048	Italian	Geovanti's	NA	IL
2.14032192486338	3.04303014604375	Italian	Olive Garden Italian Restaurant	NA	IL
1.04585520387627	4.5397719998844	Italian	Dom's Patio Villa	NA	IL
1.0727138501592	3.4387713436503	Italian	Monical's Pizza	NA	IL
2.04438107833266	3.02119069402106	Italian	The Great Impasta	NA	IL
3.12144895466045	3.96590850721113	Italian	Bacaro	NA	IL
2.11363913645037	2.99636396314017	Italian	The Old Spaghetti Factory	NA	AZ
1.14800377106294	3.49314515828155	Italian	Papa Christo's	NA	AZ
1.04008655673824	2.04459070311859	Italian	Pizza Hut	NA	AZ
1.97653115289286	3.56822501039132	Italian	Red Devil	NA	AZ
1.00501753496937	3.44815396019258	Italian	Phoenix House Of Pizza And Subs	NA	AZ
2.14705319111235	3.51731812404469	Italian	Streets of New York	NA	AZ
2.0944452773314	3.95746783954091	Italian	Pane Bianco	NA	AZ
0.989373419666663	1.96543925479054	Italian	Fusilli's	NA	AZ
2.15784112866968	4.05763516747393	Italian	Oregano's Pizza Bistro	NA	AZ
2.12406731173396	4.06270155729726	Italian	Cherryblossom Noodle Cafe	NA	AZ
2.13385857595131	3.91762463608757	Italian	Christo's Ristorante	NA	AZ
1.98980886796489	3.96153991809115	Italian	Pizza Heaven Bistro	NA	AZ
2.16821534791961	3.47610097718425	Italian	Raimondo's	NA	AZ
1.03907168596052	4.47372208959423	Italian	King Solomon's Pizza	NA	AZ
1.02010755757801	3.49657972780988	Italian	Luke's of Chicago's	NA	AZ
2.05561737297103	3.46808084701188	Italian	Pizza Hut	NA	AZ
2.00533033604734	3.99248002273962	Italian	NYPD Pizza	NA	AZ
2.05596730541438	3.44120585429482	Italian	Giuseppe's On 28th	NA	AZ
3.01943045086227	3.99393204157241	Italian	L'amore	NA	AZ
3.03913784045726	4.10484605031088	Italian	Avanti	NA	AZ
0.994162249052897	2.96025872668251	Italian	Frank's Pizza & Wings	NA	AZ
2.05547606903128	4.42397025502287	Italian	Postino Arcadia	NA	AZ
2.0709096590057	4.00007922863588	Italian	La Fontanella Restaurant	NA	AZ
2.06265287813731	2.60421605622396	Italian	Pizza Hut	NA	AZ
3.1232979782857	3.95702093192376	Italian	Marcellino Ristorante	NA	AZ
2.01449768291786	4.56731837927364	Italian	Tutti Santi by Nina	NA	AZ
1.11510045928881	3.56188157401048	Italian	Pat's Pizza Plus	NA	AZ
2.13075450053439	3.95534283835441	Italian	Spinato's Pizza	NA	AZ
2.99008196266368	4.00950152939186	Italian	Different Pointe of View	NA	AZ
2.13699412080459	3.59479567618109	Italian	Streets of New York	NA	AZ
1.03536395868286	3.54211673177779	Italian	Tony's Italian Delicatessen	NA	AZ
1.01047711358406	3.94826817503199	Italian	Stumpys Pizza	NA	AZ
1.13420599182136	4.44016416920349	Italian	Famous Ray's Pizza	NA	AZ
2.04747286085039	3.50038837483153	Italian	Streets of New York	NA	AZ
2.0161191044841	3.07497447351925	Italian	Joey's California Bistro	NA	AZ
1.01301359888166	3.96390824778937	Italian	Peter Piper Pizza	NA	AZ
2.12039214745164	2.48247967767529	Italian	Pizza Hut	NA	AZ
2.14621025957167	4.06231345185079	Italian	Salute Ristorante Italiano	NA	AZ
1.99652389362454	4.4500181955751	Italian	Spinato's Pizza	NA	AZ
2.06526739294641	4.00151867591776	Italian	Michelina's	NA	AZ
2.11177392979153	4.0121424220968	Italian	Red Devil	NA	AZ
2.04840981629677	4.47214044877328	Italian	Roma Garden Ristorante	NA	AZ
1.99519747490995	3.50782155487686	Italian	Pasta Pomodoro	NA	AZ
2.16409797254018	2.98749427706935	Italian	Streets of New York	NA	AZ
2.16244047782384	3.96995563409291	Italian	Fatso's Pizza	NA	AZ
1.99305428722873	1.06169381192885	Italian	Pizza Hut	NA	AZ
2.13475467204116	2.95590561144054	Italian	Romano's Macaroni Grill	NA	AZ
3.08532609129325	4.03065641061403	Italian	Ruffino Italian Cuisine	NA	AZ
