business_id,full_address,schools,open,categories,photo_url,city,review_count,name,neighborhoods,url,longitude,state,stars,latitude,type
JY576sTpB3ljay2IAajZ2w,"2892 Broadway
Morningside Heights
New York, NY 10025",['Columbia University'],True,"['Food', 'Grocery', 'Delis', 'Restaurants']",http://s3-media2.ak.yelpcdn.com/bphoto/PkHsY8-SoLvHISDqU95RDg/ms.jpg,New York,76,Milano Market,['Morningside Heights'],http://www.yelp.com/biz/milano-market-new-york,-73.9652725,NY,4.0,40.805698,business
EHMx2IhI-_ooHQo0N-AnHA,"2163 Frederick Douglass Blvd
Harlem
New York, NY 10026",['Columbia University'],False,"['Bars', 'American (New)', 'Nightlife', 'Lounges', 'Restaurants']",http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,New York,4,Svntn Below,['Harlem'],http://www.yelp.com/biz/svntn-below-new-york,-73.9551352,NY,3.0,40.804769,business
8lLs3dsSN-Am2_EtNfbXqA,"2893 Broadway
Morningside Heights
New York, NY 10025",['Columbia University'],True,"['Breakfast & Brunch', 'American (New)', 'Restaurants']",http://s3-media2.ak.yelpcdn.com/bphoto/IqKj8kMJEe8nyOeIuGRpoA/ms.jpg,New York,346,Community Food & Juice,['Morningside Heights'],http://www.yelp.com/biz/community-food-and-juice-new-york,-73.965675354,NY,3.5,40.8057975769,business
60f6JzTRhOyOggsjCfvh5Q,"3141 Broadway
Harlem
Manhattan, NY 10027",['Columbia University'],True,"['Sushi Bars', 'Japanese', 'Restaurants']",http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Manhattan,6,Hana Sushi,['Harlem'],http://www.yelp.com/biz/hana-sushi-manhattan,-73.9598342,NY,1.5,40.814025,business
LJuHxobQsa7lW0c1wttY2A,"258 W 109th St
Manhattan Valley
New York, NY 10025",['Columbia University'],True,"['Soul Food', 'Southern', 'Restaurants']",http://s3-media3.ak.yelpcdn.com/bphoto/myt7ACwwn0Y2aUMvkBoBfA/ms.jpg,New York,142,Rack & Soul,['Manhattan Valley'],http://www.yelp.com/biz/rack-and-soul-new-york,-73.966873,NY,3.5,40.80334,business
IIsJN_ilLI36zGAF3SMCCQ,"964 Amsterdam Ave
Manhattan Valley
Manhattan, NY 10025",['Columbia University'],True,"['Italian', 'Restaurants']",http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Manhattan,6,La Piccola Cucina,['Manhattan Valley'],http://www.yelp.com/biz/la-piccola-cucina-manhattan,-73.9652178,NY,3.5,40.8014263,business
fFsEJQB2HhpfXV48ioxzXw,"2104 Frederick Douglass Blvd
Harlem
New York, NY 10026",['Columbia University'],False,"['Food', 'Coffee & Tea', 'Breakfast & Brunch', 'Restaurants']",http://s3-media3.ak.yelpcdn.com/bphoto/wcb9HSQxOWEex6iV53-Njg/ms.jpg,New York,156,Society Coffee,['Harlem'],http://www.yelp.com/biz/society-coffee-new-york-2,-73.9562943,NY,3.5,40.8029602,business
YRfDdBgWS4T80oJfKmVThA,"2217-23 Frederick Douglas Blvd
Harlem
New York, NY 10026",['Columbia University'],True,"['Bars', 'American (New)', 'Nightlife', 'Lounges', 'Restaurants']",http://s3-media4.ak.yelpcdn.com/bphoto/1a1DruBNdnacO6iAWBGYVQ/ms.jpg,New York,60,Chocolat Restaurant Lounge,['Harlem'],http://www.yelp.com/biz/chocolat-restaurant-lounge-new-york,-73.9536792,NY,3.0,40.8069523,business
Ev04GeSgAXwKsO1qJiO9xQ,"1346 Amsterdam Ave
Harlem
New York, NY 10027",['Columbia University'],True,"['Mexican', 'Restaurants']",http://s3-media1.ak.yelpcdn.com/bphoto/mXyajZKJp4SmfwXKP3J2jg/ms.jpg,New York,18,Jesus Taco,['Harlem'],http://www.yelp.com/biz/jesus-taco-new-york,-73.9561224,NY,2.5,40.8139108,business
3ayb8-X8BvPyFh_E6FLyyw,"2756 Broadway
Manhattan Valley
New York, NY 10025",['Columbia University'],True,"['Gastropubs', 'Restaurants']",http://s3-media2.ak.yelpcdn.com/bphoto/WGR7fkqsBfnHV5pUoZvrYQ/ms.jpg,New York,29,Five Lamps Tavern,['Manhattan Valley'],http://www.yelp.com/biz/five-lamps-tavern-new-york,-73.9676149,NY,3.5,40.8009294,business
